,Column Labels,,,,,,,,,
Main Street Launch,4416900,9553300,10073800,7208600,27,61,72,57,31252600,217
Bank of the Prairie,7650000,5175000,14650000,3740000,4,12,16,9,31215000,41
"Texas Advantage Community Bank, National Association",2772000,7875000,9788000,10708800,2,4,9,6,31143800,21
CalPrivate Bank,2366000,8853000,6398700,13085000,6,11,10,20,30702700,47
KeyPoint CU,3792600,11729725,10971100,4141500,6,10,13,10,30634925,39
KleinBank,4139900,9462850,9791600,7191300,32,52,66,39,30585650,189
Randolph-Brooks FCU,8857600,5973100,7023500,8395300,12,23,42,24,30249500,101
Redding Bank of Commerce,4318700,8029900,8942500,8836900,5,17,17,12,30128000,51
Lakeland Bank,3540500,4274000,11525000,10780000,6,9,16,13,30119500,44
Farmers & Stockmens Bank,3977100,6521500,11285000,8303500,7,12,14,21,30087100,54
The Bank of Tampa,7089000,11221000,11765000,,5,15,9,,30075000,29
Bank of San Francisco,5675000,5575000,13352700,5450000,7,11,22,12,30052700,52
SouthWest Bank,6123500,6051100,7961500,9787700,9,7,15,21,29923800,52
Kearny Bank,276000,17289000,9336200,2885000,1,21,18,9,29786200,49
Community State Bank,2125300,11799994,12503100,3326600,15,34,46,19,29754994,114
Bankers Trust Company,1957000,10563900,9304900,7597000,11,42,24,15,29422800,92
"NBT Bank, National Association",1383900,6775800,12255500,8984700,13,34,70,56,29399900,173
Pineland Bank,4490072,6467400,12357329,5842500,8,8,10,4,29157301,30
"Home Loan Investment Bank, F.S.B.",8200000,6090000,13985000,851500,3,6,16,4,29126500,29
"PEOPLESBANK, A Codorus Valley Company",19216700,7728000,2115500,,20,23,4,,29060200,47
Heartland Bank,4087300,4885200,10480900,9584300,25,27,23,41,29037700,116
Security Bank,3495000,11250000,9596600,4673200,8,28,27,14,29014800,77
"Evans Bank, National Association",2440900,10627900,8899100,6992200,24,45,36,33,28960100,138
Access National Bank,8928900,6945000,5250000,7807900,6,12,8,12,28931800,38
Hawthorn Bank,1316300,8883616,11045107,7125646,7,32,30,30,28370669,99
First Bank of the Lake,5853700,17791000,4705000,,5,8,3,,28349700,16
The Lyons National Bank,6129800,4768200,9915100,7487700,30,33,28,19,28300800,110
Magyar Bank,7771200,7987000,7243000,5201800,7,14,11,16,28203000,48
"First Mid-Illinois Bank & Trust, N.A.",5158200,3287590,7985000,11748755,16,33,78,78,28179545,205
"Florida Community Bank, National Association",4482500,5000000,7265000,11327600,4,2,3,8,28075100,17
CNB Bank,2158000,13678625,4314000,7785500,13,19,15,16,27936125,63
"Mercantil Bank, National Association",7486900,7461500,4276700,8606000,7,11,8,8,27831100,34
Oklahoma State Bank,1260000,8264500,17144300,1081000,2,16,9,2,27749800,29
"Leader Bank, National Association",5729800,7828700,6874600,7268200,38,73,69,74,27701300,254
First Midwest Bank,7244000,4173000,10738500,5057800,9,11,11,9,27213300,40
"First Financial Bank, National Association",3746000,4785000,8544300,10067000,12,24,32,24,27142300,92
Central Pacific Bank,2672000,7026000,7410000,9939300,47,104,156,199,27047300,506
"INTRUST Bank, National Association",4572200,8235700,6691400,7521700,12,22,35,30,27021000,99
First Citrus Bank,5515000,17050000,3894000,,3,18,4,,26459000,25
Gibsland Bank & Trust Company,1600200,4148900,11786400,8706700,3,10,13,13,26242200,39
"LiftFund, Inc.",3655000,7340100,10725600,4521200,29,57,74,40,26241900,200
Empire State Certified Development Corporation,2951000,6438500,10118000,6731900,18,42,65,47,26239400,172
Home Federal Savings Bank,2739800,4746500,11138700,7539300,3,3,12,5,26164300,23
Coastway Community Bank,3759500,5198000,11344300,5819600,27,48,59,55,26121400,189
First Community Bank,2639500,3540700,6052200,13816500,6,6,17,52,26048900,81
The Yellowstone Bank,3613000,13261600,3614263,5513200,11,26,13,19,26002063,69
The Bank of San Antonio,1748100,10008000,6911950,7153800,6,16,7,8,25821850,37
"BOKF, National Association",2126200,1785000,13974300,7890400,8,21,59,48,25775900,136
Heritage First Bank,2225300,18736000,4112800,587000,1,12,4,1,25661100,18
Kitsap Bank,3481500,9707100,6537600,5743636,13,31,24,18,25469836,86
Progress Bank and Trust,704500,9716000,7107432,7920000,3,11,13,10,25447932,37
Numerica CU,4107000,8364100,9783000,3087000,9,9,18,6,25341100,42
Bank of the Sierra,8300000,2829700,3683500,10499300,12,13,26,39,25312500,90
Enterprise Bank & Trust,6402000,7290700,7995600,3615313,9,8,11,17,25303613,45
Cedar Rapids Bank and Trust Company,1752500,6587800,6837300,9467400,5,23,22,22,24645000,72
Providence Bank,,7344000,6814000,10469657,,5,11,13,24627657,29
Opus Bank,10390000,6916000,4850500,2466900,6,8,10,1,24623400,25
Union Bank & Trust,3061000,9771900,7367990,4354300,9,58,31,16,24555190,114
Cambridge Savings Bank,1252700,7967800,7891000,7400776,23,50,51,33,24512276,157
Bank of the Pacific,600000,5209900,8781450,9864000,3,16,28,26,24455350,73
ESL FCU,5172000,8313800,7000900,3938500,88,127,75,33,24425200,323
AccessBank Texas,1719000,2043000,9000400,11536000,1,5,10,7,24298400,23
Surrey Bank & Trust,2854800,8183500,6577200,6581600,31,42,39,38,24197100,150
Central Bank of the Midwest,8516100,5012528,6873900,3760200,11,6,12,16,24162728,45
Amplify CU,3713700,8812900,7716000,3906500,6,13,9,9,24149100,37
Lake City Bank,4935100,10467164,3946300,4791800,28,36,37,25,24140364,126
Summit Bank of Kansas City,107000,6454400,9560300,7982400,1,11,9,13,24104100,34
"Texas Gulf Bank, National Association",1975000,6898200,9307000,5840400,2,7,9,2,24020600,20
Signature Bank of Georgia,691100,8052700,2403000,12678100,1,9,7,24,23824900,41
Cornerstone Bank,3074100,7337800,8798300,4488800,17,34,28,33,23699000,112
Hyperion Bank,5049300,8532500,9348000,745000,6,7,11,1,23674800,25
Bank Rhode Island,3213200,6191500,9167500,5006800,31,61,73,47,23579000,212
D. L. Evans Bank,2594500,6168140,6837100,7848303,20,75,76,74,23448043,245
Peoples Bank of Alabama,150000,11971100,6832000,4315000,1,12,8,10,23268100,31
State Bank of India (California),,,6713000,16370000,,,6,10,23083000,16
Mutual of Omaha Bank,590000,12031600,8290600,2148000,2,8,6,7,23060200,23
"Golden Bank, National Association",3750000,6043000,4052000,9180000,4,7,3,5,23025000,19
American Bank of Commerce,3519900,6387331,5892613,6842900,13,18,21,13,22642744,65
One World Bank,8211300,10234800,4168500,,7,9,4,,22614600,20
Home Savings Bank,8215300,1641100,10623000,1948600,5,6,4,10,22428000,25
"Terrabank, National Association",992500,12983000,1561500,6840500,2,8,2,4,22377500,16
Arkansas Capital Corporation,711200,4245000,8688300,8653300,4,2,19,20,22297800,45
The Business Bank of St. Louis,4885000,9273800,6030000,2014900,6,9,6,4,22203700,25
American Continental Bank,1400000,628000,8026000,12065000,3,1,3,19,22119000,26
Regent Bank,918200,7584400,8475400,5125800,7,18,14,10,22103800,49
FirstBank Puerto Rico,774800,2431500,11878300,7006300,7,10,25,38,22090900,80
Woodlands National Bank,2397900,8004200,7126200,4549800,12,20,25,19,22078100,76
Rockford Bank and Trust Company,,6148500,10201000,5646900,,15,34,33,21996400,82
Union Bank and Trust Company,3334000,5409300,4288200,8840825,9,31,19,32,21872325,91
Texas Security Bank,4414100,8960000,4799500,3524600,3,14,8,7,21698200,32
"Merchants Bank, National Association",1695800,9599700,3112000,7200800,5,15,8,19,21608300,47
Village Bank,5946600,9755300,5168500,708000,11,21,15,1,21578400,48
Minnesota Bank & Trust,3803200,7307800,8485000,1892500,9,16,13,10,21488500,48
Empire State Bank,235000,3763000,5312000,12101100,1,10,16,15,21411100,42
MidCountry Bank,463200,9681800,6509800,4616000,1,9,9,5,21270800,24
Bank of Hawaii,1075000,5682300,9215000,5294200,10,37,48,37,21266500,132
Columbia Bank,1275000,5975000,3089000,10868900,3,20,17,38,21207900,78
Citywide Banks,4251300,2802700,6548204,7586500,5,9,12,10,21188704,36
Inland Northwest Bank,391200,9751780,6380577,4549300,5,20,29,14,21072857,68
Spring Bank,325000,4753400,10577500,5412000,2,17,22,17,21067900,58
California Bank of Commerce,7029792,4485400,8771000,700000,7,7,6,1,20986192,21
AB&T,5000000,5000000,5915000,5000000,1,1,2,1,20915000,5
Economic Development Bank for Puerto Rico,705900,4031800,8495600,7430400,8,41,73,38,20663700,160
Fulton Bank of New Jersey,,7739000,6973000,5919000,,8,13,21,20631000,42
Adirondack Bank,5982000,2795000,7524000,4255000,9,9,27,14,20556000,59
Genesee Regional Bank,4200000,6106000,7098300,3108000,11,36,24,30,20512300,101
PeopleFund,2898300,9682300,4240600,3616300,28,91,49,44,20437500,212
"Associated Bank, National Association",4550200,4333300,4466700,7015400,64,53,52,65,20365600,234
Countryside Bank,,8888900,6460000,4981000,,10,9,6,20329900,25
Farmers & Merchants Bank,1703000,8418000,7361300,2834500,6,12,12,13,20316800,43
Main Street Bank,1331500,10693000,2809900,5452000,3,7,8,5,20286400,23
Valley Economic Development Corp.,859000,2949500,9062800,7380000,6,24,78,52,20251300,160
BlackRidgeBANK,1718200,3976123,4994900,9402300,14,17,13,25,20091523,69
Professional Bank,3295000,8971500,7677500,,5,8,9,,19944000,22
First Federal Bank of the Midwest,1294500,4395100,3128700,11071414,4,11,15,26,19889714,56
Texas Champion Bank,1992700,4658400,7526500,5689600,9,16,29,16,19867200,70
"Community West Bank, National Association",,16459000,2086000,1160200,,7,2,4,19705200,13
First Green Bank,9062300,10550000,,,12,20,,,19612300,32
Signature Bank,3067000,2943000,7776000,5790800,10,7,15,14,19576800,46
Broadway National Bank,4469500,4311500,5731600,5032500,5,18,16,15,19545100,54
International City Bank,3653000,7299500,5196000,3319700,8,10,10,8,19468200,36
VISIONBank,4047700,5071400,3720500,6615414,28,37,22,31,19455014,118
"The First, A National Banking Association",1897800,5169000,6485000,5889000,4,11,5,10,19440800,30
Northside Bank,4586000,4838300,4329700,5620700,6,5,8,10,19374700,29
"Peoples National Bank, National Association",1739000,6612500,5767500,5205200,11,15,24,15,19324200,65
Suncrest Bank,2103000,5321400,7157000,4654100,4,9,9,14,19235500,36
Timberline Bank,1220000,3587800,5653900,8711400,10,8,15,14,19173100,47
Idaho Central CU,2291900,11894690,4982900,,21,50,2,,19169490,73
California CU,465000,3692000,8875000,6108000,1,11,11,10,19140000,33
Happy State Bank,649800,8500900,4089700,5847700,1,17,25,13,19088100,56
Park Bank,1067900,3043309,8780000,6140700,7,13,24,20,19031909,64
1st Colonial Community Bank,2565000,4647000,4150000,7613000,7,9,14,17,18975000,47
Parke Bank,3475000,12360100,3092900,,4,12,4,,18928000,20
ServisFirst Bank,1174300,8104400,2275000,7339900,1,9,3,9,18893600,22
Crown Bank,450000,1245000,10300000,6835000,1,2,8,9,18830000,20
Commerce Bank of Temecula Valley,2005000,2142000,3540400,11065500,7,4,4,11,18752900,26
Capitol National Bank,475000,3341500,9936500,4972500,4,12,19,15,18725500,50
STAR Financial Bank,175000,7174400,5268100,6089000,4,24,20,20,18706500,68
Consumers National Bank,2073512,7061234,4753162,4802200,14,26,20,14,18690108,74
"DNB First, National Association",2033000,950000,11434700,4242500,10,7,27,11,18660200,55
State Bank of Southern Utah,1275400,7538677,3646800,6160000,11,50,35,49,18620877,145
Carver State Bank,5576500,11967600,969500,,36,45,3,,18513600,84
Enterprise Bank and Trust Company,2795900,5558000,6827400,3253500,12,27,34,21,18434800,94
American Momentum Bank,3662400,13971700,,750100,9,20,,2,18384200,31
Mission Bank,6656400,4617500,1654600,5376100,6,7,2,5,18304600,20
American Bank of Missouri,13443500,4751100,88000,,14,7,1,,18282600,22
German American Bancorp d/b/a German American,2195600,6971800,2693600,6336100,7,47,18,32,18197100,104
"Central Illinois Bank, A Branch of",6527000,10235000,1035200,320000,6,11,1,1,18117200,19
Mohave State Bank,3709000,4206700,100500,9997000,6,13,1,11,18013200,31
CommerceWest Bank,807000,2767900,6645000,7776700,2,15,21,19,17996600,57
The Bank of Elk River,5245500,5626100,5942700,1063000,4,9,5,2,17877300,20
Civis Bank,,,2516000,15010100,,,2,26,17526100,28
Texas First Bank,,9493646,5301800,2655600,,6,8,5,17451046,19
Pacific Mercantile Bank,350000,3545000,3920000,9615500,1,1,4,6,17430500,12
Gulf Coast Bank,1481900,3324090,4921200,7641300,3,7,8,11,17368490,29
First Bank & Trust,5675000,4525000,4486000,2653700,2,4,4,5,17339700,15
Security Service FCU,619900,3686800,4236700,8783700,4,8,12,22,17327100,46
1st Capital Bank,7175000,3817000,2695000,3610000,5,5,6,6,17297000,22
First Service Bank,6277500,735100,10274156,,10,8,9,,17286756,27
The First National Bank of McGregor,6649600,6310900,1497700,2787900,7,12,7,5,17246100,31
Lincoln Savings Bank,3901800,2105900,5011500,6190836,3,5,7,4,17210036,19
Bank First National,4560500,5539500,3780000,3305500,6,8,3,6,17185500,23
"CommunityBank of Texas, National Association",2647900,3368900,6550700,4548300,3,3,5,6,17115800,17
Clarkston State Bank,4114000,5368500,5196000,2421700,3,6,6,3,17100200,18
Republic Bank & Trust Company,2658000,4759200,6242200,3346125,15,16,29,10,17005525,70
Fidelity Deposit and Discount Bank,50000,7055000,5096500,4705300,1,16,17,12,16906800,46
Belgrade State Bank,592100,8505550,5428000,2310400,4,7,11,7,16836050,29
Banco Santander Puerto Rico,473700,4411400,4490100,7360400,5,46,68,102,16735600,221
"Bank of Bridger, National Association",3656250,6321000,4548000,2050400,17,45,29,19,16575650,110
Frederick County Bank,326000,6694000,1240000,8111000,1,8,3,7,16371000,19
Arizona Bank & Trust,5000000,4077500,2815000,4395623,1,3,2,5,16288123,11
First State Bank Nebraska,1587500,7241700,2711800,4501000,10,32,32,24,16042000,98
Atlantic Coast Bank,716000,7507800,989000,6647900,1,4,3,13,15860700,21
Carolina Small Business Development Fund,1985100,4396500,4182100,5274400,16,37,36,44,15838100,133
"Capital Bank, National Association",3569000,3855000,3986000,4212900,16,16,16,18,15622900,66
Bar Harbor Bank & Trust,117000,1190500,3483500,10812000,3,17,30,50,15603000,100
First Commerce Bank,525000,2399000,8216000,4455000,3,12,22,20,15595000,57
Freedom National Bank,1691800,4304500,6095000,3419000,11,16,24,26,15510300,77
Howard Bank,3067800,8728100,1100000,2576000,8,17,6,13,15471900,44
Haddon Savings Bank,,5268000,10170000,,,3,3,,15438000,6
Regal Bank,350000,2615000,4812200,7608000,1,6,10,11,15385200,28
Capital City Bank,580000,2177700,7686500,4897348,4,13,18,11,15341548,46
Business Development Corporation of South Carolina,2080200,3399100,3597500,6152250,6,10,9,18,15229050,43
"Westport National Bank, A Division of",6379300,8721700,,,6,12,,,15101000,18
Bank of Montana,,10000000,,5000000,,2,,1,15000000,3
Peoples State Bank,2385900,2424300,3919000,6269934,8,14,19,29,14999134,70
Telhio CU Inc,1213900,7618600,4397400,1761900,11,44,43,25,14991800,123
Johnson Bank,322700,5960000,541000,8139900,4,5,3,13,14963600,25
Southern Bank and Trust Company,1247000,4958700,3281035,5420800,14,32,26,38,14907535,110
Community First Bank of the Heartland,4350000,5693000,1633573,3132400,4,9,18,23,14808973,54
Farmington Bank,2136500,3332300,4206400,5039800,17,51,44,61,14715000,173
Wintrust Bank,2649500,6755000,5287000,,7,16,12,,14691500,35
Centier Bank,1975200,5785200,5222524,1706700,19,45,32,21,14689624,117
Business Development Finance Corporation,1305900,5137700,5238580,3005000,10,40,41,18,14687180,109
First State Bank of Middlebury,300000,4384000,4325000,5575000,2,5,3,2,14584000,12
Ultima Bank Minnesota,399500,4749600,6504900,2913530,5,18,26,18,14567530,67
Bank of Dudley,2375000,1460000,2783000,7873000,2,2,2,6,14491000,12
LCA Bank Corporation,,6067600,4197500,4218000,,13,7,6,14483100,26
Morris Bank,4289290,345200,5000000,4810000,1,1,1,2,14444490,5
Select Bank & Trust Company,1446400,12503100,200000,250000,2,10,2,2,14399500,16
Columbus First Bank,,5761900,6718500,1916000,,7,4,6,14396400,17
Falcon National Bank,1392500,1888400,8281437,2814420,7,16,22,32,14376757,77
SAFE CU,456000,3364000,6654700,3885600,13,29,40,33,14360300,115
Growth Capital Corporation,2313100,2584700,4602000,4820200,15,37,53,29,14320000,134
Advantage Bank,5511000,6939400,1261000,552600,5,11,3,2,14264000,21
First Foundation Bank,5631300,3670000,2367500,2488000,15,9,5,5,14156800,34
Choice Financial Group,2732525,7769700,1543000,2081000,12,26,17,11,14126225,66
Vision One CU,1248500,3091800,4636000,5136500,3,11,13,14,14112800,41
Farmers State Bank,2161900,2807300,4178600,4960451,14,26,24,36,14108251,100
Pioneer Bank,1819200,6300960,2608900,3376600,7,20,16,32,14105660,75
FNB South,801800,,,13286500,1,,,5,14088300,6
Newton Federal Bank,13902700,126560,,,7,1,,,14029260,8
Bridgeview Bank Group,100000,,6985000,6940500,1,,10,13,14025500,24
Farmers and Merchants Bank of St. Clair,2236500,2316272,4705600,4739129,7,24,24,18,13997501,73
Flint Community Bank,574700,7596551,428800,5348500,1,6,1,4,13948551,12
The Canandaigua National Bank and Trust Company,1409500,4413900,3789900,4314700,13,29,26,22,13928000,90
UniBank for Savings,2325200,7198800,3378200,1025700,22,68,46,16,13927900,152
Grandpoint Bank,6664000,7249000,,,4,9,,,13913000,13
Summit State Bank,6243000,7670000,,,4,6,,,13913000,10
TCF National Bank,,11836700,350000,1715000,,5,1,1,13901700,7
Pacific Alliance Bank,13552000,,,280000,8,,,1,13832000,9
The Adirondack Trust Company,2587000,3539700,4634300,3057100,28,42,56,36,13818100,162
Frandsen Bank & Trust,2389100,7111200,2746800,1563100,19,30,16,12,13810200,77
"Alerus Financial, National Association",593000,5103400,1815000,6257500,1,6,7,9,13768900,23
Kellogg Community CU,1208000,2627000,1746000,8049300,3,6,8,13,13630300,30
Norway Savings Bank,3503700,1276000,1793500,7056000,4,8,13,9,13629200,34
Bank of the Southwest,1396000,3936700,4407800,3869300,5,8,12,10,13609800,35
SmartBank,1757000,4799500,4084000,2953000,1,7,5,11,13593500,24
First Northern Bank of Wyoming,,1638200,3150900,8763703,,8,11,8,13552803,27
Inter National Bank,4188500,187000,7542200,1613000,7,2,7,9,13530700,25
Boston Private Bank & Trust Company,1585000,3646500,6554000,1707000,8,26,42,12,13492500,88
American Community Bank & Trust,2910000,861500,5393000,4232500,3,8,18,7,13397000,36
Fremont Bank,7734800,5596800,,,5,7,,,13331600,12
The Community Bank,120000,3961800,5170800,4027152,4,46,54,47,13279752,151
Three Rivers Bank of Montana,1545560,7815000,2181770,1717993,6,18,13,7,13260323,44
Legends Bank,3400000,550000,7349000,1901500,2,3,8,9,13200500,22
Wisconsin Women's Business Initiative Corporation,1802900,3738500,3632000,3945800,21,34,41,43,13119200,139
HarborOne Bank,808000,8262100,1661900,2377300,11,34,23,31,13109300,99
Redwood Capital Bank,1222200,6302500,2927800,2628400,8,16,14,11,13080900,49
Tioga-Franklin Savings Bank,5039000,2584000,5425000,,8,5,4,,13048000,17
The Heritage Bank,,11946700,1023500,,,6,3,,12970200,9
First Southwest Bank,2653400,2127000,3985800,4198800,13,6,9,13,12965000,41
Vista Bank,10486300,825400,250000,1365900,6,7,1,3,12927600,17
Rocky Mountain Bank,271000,1780500,6337600,4456800,3,6,20,24,12845900,53
Katahdin Trust Co.,867000,4762450,2612500,4590925,6,27,22,42,12832875,97
Bristol County Savings Bank,402000,2176500,4265500,5988000,4,17,28,27,12832000,76
State Bank of Lizton,962000,6710800,1174000,3961000,3,10,11,21,12807800,45
VCC Bank,3520000,6683600,2603100,,11,20,7,,12806700,38
Great Plains National Bank,641000,5878300,1645800,4604100,4,24,8,15,12769200,51
First Bank and Trust,40000,2875000,3318100,6470800,2,3,8,26,12703900,39
"Community Bank, National Association",2058000,2696200,3572800,4328800,16,24,40,44,12655800,124
Sunwest Bank,4792600,2770700,3860000,1225000,8,12,4,5,12648300,29
First Citizens Bank,1224500,2016500,6352749,2850900,10,12,15,16,12444649,53
Starion Bank,6239000,2135100,2220000,1786100,5,10,13,19,12380200,47
HomeStar Bank and Financial Services,12351000,,,,7,,,,12351000,7
Texas Bank,832000,1686000,3703000,6113700,7,12,12,10,12334700,41
Century Bank of Georgia,,1791300,3366100,7153500,,5,8,10,12310900,23
RiverBank,1560000,850000,4785000,5104900,1,3,2,3,12299900,9
The First National Bank of Beeville,1200000,,50000,11044000,1,,1,8,12294000,10
Citizens & Northern Bank,2244600,2531200,2297500,5205200,13,24,20,27,12278500,84
Trenton Business Assistance Corporation,1523500,3723000,3115000,3887000,12,35,25,30,12248500,102
Security Financial Bank,,2390000,5501000,4317100,,6,7,13,12208100,26
Century Bank and Trust Company,3749000,4607338,2597500,1220000,20,46,32,12,12173838,110
First Advantage Bank,,9605758,,2527000,,5,,7,12132758,12
Hillsdale County National Bank,2850000,3166700,3208600,2800700,3,9,7,4,12026000,23
The Peoples Bank,4230000,4205000,3502000,,3,3,3,,11937000,9
Illinois National Bank,570000,5265700,3316500,2761000,3,13,17,16,11913200,49
AmeriState Bank,3230000,3175500,3516500,1954800,2,5,4,4,11876800,15
Ion Bank,90000,3992000,6977100,816000,2,5,13,4,11875100,24
Utah First FCU,3983000,6910000,300000,636000,1,4,1,2,11829000,8
"American Plus Bank, National Association",262500,3120000,7100000,1330000,1,1,4,1,11812500,7
The Middlefield Banking Company,314000,4426000,4716000,2355000,1,10,12,7,11811000,30
Valliance Bank,3542500,928400,2054910,5140000,8,6,9,2,11665810,25
Capital Community Bank,,,1530000,9892200,,,2,2,11422200,4
FNCB Bank,6562000,2740000,1706000,400000,6,8,4,1,11408000,19
University First FCU,1407400,2037500,4834000,3075000,15,23,22,21,11353900,81
Brighton Bank,3085000,717500,3916800,3594300,3,5,5,4,11313600,17
First Hawaiian Bank,1474200,4256500,1552900,4013500,12,52,15,26,11297100,105
"Crossroads Small Business Solutions, LLC",8052600,247000,2689700,295000,5,1,15,16,11284300,37
First Sound Bank,2900000,1691000,,6645000,3,3,,6,11236000,12
Liberty Bank,1611000,6889300,1475000,1205000,22,41,13,17,11180300,93
First Security Bank of Nevada,,950000,3167000,7045000,,5,5,6,11162000,16
Bank 34,2280500,1212000,6523200,1075000,4,2,8,2,11090700,16
Investors Community Bank,2904400,2555000,1752600,3825800,13,11,6,12,11037800,42
Truliant FCU,408100,3400300,4581300,2642300,2,9,12,9,11032000,32
"National Cooperative Bank, National Association",3625000,1899500,2775000,2710700,5,3,3,3,11010200,14
"Fidelity Bank of Florida, National Association",1634000,3779100,5047900,520000,3,7,5,1,10981000,16
Rayne State Bank & Trust Company,135000,2212400,2260100,6370000,1,11,3,4,10977500,19
Community First Capital Corp,1407800,3024000,3814800,2707500,14,22,33,22,10954100,91
South Coast Bank & Trust,801000,,5147500,4982000,1,,4,3,10930500,8
Scott CU,4233500,4331900,774000,1589000,15,36,3,2,10928400,56
Georgia Heritage Bank,5295000,5589900,,,5,3,,,10884900,8
Achieva CU,647200,1720100,1048300,7442550,1,4,2,9,10858150,16
Lone Star National Bank,,1092000,2536000,7230000,,7,5,20,10858000,32
Beneficial State Bank,3010000,4363000,1558400,1839900,6,12,7,12,10771300,37
"Barrington Bank & Trust Company, National Association",3454000,1030000,4015000,2215500,5,5,6,4,10714500,20
Farmers & Merchants Savings Bank,4174500,1249200,705600,4556800,5,5,4,12,10686100,26
Southwestern National Bank,2500000,8150000,,,1,3,,,10650000,4
United Bank of El Paso del Norte,600000,3174500,2839200,4013800,1,19,15,19,10627500,54
First Resource Bank,1162000,4426000,979000,4007000,1,11,5,1,10574000,18
Merchants Bank of Indiana,1061500,6229600,2361500,918301,4,10,5,2,10570901,21
"Commercial Bank of Texas, N.A.",3082200,626000,2043100,4819520,5,5,7,23,10570820,40
Commonwealth Bank & Trust Company,857000,1055000,3006500,5550500,4,8,5,9,10469000,26
Univest Bank and Trust Co.,600000,2165000,2089700,5535100,2,15,14,19,10389800,50
Lighthouse Bank,3697500,4296000,605000,1772200,3,1,3,2,10370700,9
Prosperity Bank,329800,2220300,2869800,4896400,2,7,7,13,10316300,29
The Park National Bank,5227300,2717000,1244700,1120000,16,19,16,9,10309000,60
Citizens Business Bank,1600000,430000,2213100,6042700,1,3,11,11,10285800,26
The Morrill & Janes Bank & Trust Company,1437200,3014100,4388500,1358500,3,8,11,10,10198300,32
Bank of Hays,735100,552657,5929700,2952300,3,7,16,12,10169757,38
Bank of Santa Clarita,537500,5205000,379000,4031500,1,4,5,17,10153000,27
Lake Trust CU,300000,7101600,1246700,1449300,1,13,5,5,10097600,24
HomeTrust Bank,9725000,344000,,,5,1,,,10069000,6
"Farmers State Bank of Alto Pass, Illinois",10034000,,,,3,,,,10034000,3
State Bank Financial,560000,1964200,2604000,4890000,4,12,22,32,10018200,70
Carrollton Bank,5000000,5000000,,,1,1,,,10000000,2
The First State Bank,3352500,284400,1182100,5130000,1,2,5,2,9949000,10
Devon Bank,250000,8620000,1067200,,1,3,2,,9937200,6
Peoples Bank SB,1128000,1488200,2704905,4563500,5,15,26,22,9884605,68
Covington County Bank,1347800,2639300,3201570,2693300,20,41,57,45,9881970,163
Community Bank & Trust-West Georgia,,3000000,,6800000,,1,,2,9800000,3
Travis CU,7242800,2424400,,132000,7,8,,1,9799200,16
State Bank of Cross Plains,206000,1990400,4270400,3323300,4,12,22,15,9790100,53
Pawtucket CU,2862000,763800,2335500,3708000,3,6,12,13,9669300,34
Premier Community Bank of Florida,720000,3392000,1435000,4100000,3,1,2,3,9647000,9
First National Bank,540600,3566120,1315000,4169700,8,21,14,22,9591420,65
Legacy Bank of Florida,711000,6934600,1933900,,1,5,2,,9579500,8
Financial Security Bank,1684800,4456200,2542500,893500,13,22,14,7,9577000,56
"American Savings Bank, FSB",210000,504000,3447000,5393500,7,14,67,130,9554500,218
Northrim Bank,450000,1463800,4981000,2649700,2,6,9,5,9544500,22
Oriental Bank,1680000,1731700,3060000,3009700,16,17,27,25,9481400,85
Michigan State University FCU,630000,1881400,1806500,5110000,4,9,17,13,9427900,43
St. Charles Bank & Trust Company,1547000,3802000,4017000,,2,8,13,,9366000,23
National Exchange Bank and Trust,3070000,1817864,3341000,1070500,7,6,8,2,9299364,23
Texas National Bank of Jacksonville,,,257500,9040000,,,1,14,9297500,15
Bank of Bennington,35000,1712500,150000,7393500,1,4,1,5,9291000,11
North Georgia National Bank,,490000,5296000,3455400,,1,2,3,9241400,6
"SouthStar Bank, S.S.B.",1410000,6285500,,1507500,2,8,,1,9203000,11
Navigant CU,1119300,2919610,2595500,2477000,11,30,25,20,9111410,86
Access Bank,,2402300,5590500,1115000,,7,15,4,9107800,26
"TBK Bank, SSB",300000,1045000,5495000,2263000,2,5,7,5,9103000,19
Flagship Community Bank,1600000,1000000,4613000,1825000,1,1,6,2,9038000,10
TexStar National Bank,1840000,3567000,1915800,1709500,4,11,8,10,9032300,33
Charter Bank,1313500,2316200,2744600,2643700,9,17,21,17,9018000,64
HawaiiUSA FCU,,80000,2568700,6347100,,3,76,196,8995800,275
Advia CU,,200000,3082500,5677906,,1,13,15,8960406,29
Heritage Bank of the Ozarks,725000,1587000,2528000,4100500,2,9,13,10,8940500,34
"Academy Bank, National Association",,695000,3404000,4812700,,3,3,9,8911700,15
Ann Arbor State Bank,70000,2858757,3933500,2041142,1,8,10,5,8903399,24
Sutton Bank,460000,6118000,1203500,1077500,4,10,7,10,8859000,31
Sandhills Bank,,2330000,2340000,4165000,,3,2,2,8835000,7
First Virginia Community Bank,2027500,,1222000,5575000,3,,4,4,8824500,11
The Victory Bank,1352500,3360800,3835000,275000,6,8,11,3,8823300,28
First Basin CU,,3420000,5125300,229500,,1,2,1,8774800,4
MutualBank,375000,807500,6441000,1145000,3,2,7,4,8768500,16
"Colorado Lending Source, Ltd.",2053200,3402700,2067800,1225000,13,19,14,7,8748700,53
"AgSouth Farm Credit, FLCA",2584800,1747400,,4400000,2,2,,1,8732200,5
"Eagle Valley Bank, National Association",555000,920000,4932500,2308900,4,3,2,4,8716400,13
